StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3124;60201333;Bhf. Strebersdorf S;Wien;49000001;16.3814440;48.2861278
3125;60201135;Rußbergstraße;Wien;49000001;16.3837167;48.2877178
3126;60200260;Strebersdorf, Meriangasse;Wien;49000001;16.3863847;48.2910709
3127;60201248;Siemensstraße S;Wien;49000001;16.4197661;48.2712417
3128;;Prandaugasse;;;0;0
3129;60200767;Himmelteich;Wien;49000001;16.5205660;48.2255758
3130;60200820;Längenfeldgasse U;Wien;49000001;16.3354323;48.1852778
3131;60200706;Korbergasse;Wien;49000001;16.3387560;48.1859307
3132;60200379;Gaudenzdorfer Gürtel;Wien;49000001;16.3429871;48.1872063
3133;60200041;Am Hundsturm;Wien;49000001;16.3475146;48.1885359
3134;60200137;;Wien;49000001;16.3540543;48.1910931
3135;60201018;Pilgramgasse U;Wien;49000001;16.3548898;48.1925723
3136;60200205;Castelligasse;Wien;49000001;16.3582854;48.1886736
3137;60201233;Siebenbrunnengasse;Wien;49000001;16.3593274;48.1875417
3138;60201518;Zentaplatz;Wien;49000001;16.3604144;48.1862840
3139;60200306;Fendigasse;Wien;49000001;16.3559767;48.1840979
3140;60200277;Embelgasse;Wien;49000001;16.3522307;48.1827323
3141;60201232;Siebenbrunnenfeldgasse;Wien;49000001;16.3547730;48.1822112
3142;60200590;Jahngasse;Wien;49000001;16.3570457;48.1830677
3143;60201069;Ramperstorffergasse;Wien;49000001;16.3603515;48.1849963
3144;60201233;Siebenbrunnengasse;Wien;49000001;16.3579171;48.1872662
3145;60200696;Kohlgasse;Wien;49000001;16.3515840;48.1878831
3146;60200041;Am Hundsturm;Wien;49000001;16.3473978;48.1867871
3147;60200379;Gaudenzdorfer Gürtel;Wien;49000001;16.3442807;48.1856911
3148;60201868;Steinhagegasse;Wien;49000001;16.3404628;48.1849304
3149;60200082;Arndtstraße;Wien;49000001;16.3371480;48.1838044
3150;60201286;Spengergasse;Wien;49000001;16.3573961;48.1847807
3151;60200267;Eichenstraße;Wien;49000001;16.3501467;48.1814386
3152;60201324;Stiegergasse;Wien;49000001;16.3329260;48.1882125
3153;60200501;Henriettenplatz;Wien;49000001;16.3320007;48.1902427
3154;60200712;Geibelgasse;Wien;49000001;16.3307161;48.1916141
3155;60201179;Schmelzbrücke;Wien;49000001;16.3296471;48.1960873
3156;60201200;Schweglerstraße U;Wien;49000001;16.3277966;48.1967879
3157;60201200;Schweglerstraße U;Wien;49000001;16.3277876;48.1981292
3158;60201179;Schmelzbrücke;Wien;49000001;16.3295393;48.1960634
3159;60200712;Geibelgasse;Wien;49000001;16.3307341;48.1915362
3160;60200501;Henriettenplatz;Wien;49000001;16.3312461;48.1899792
3161;60201455;Wehrbrücklstraße;Wien;49000001;16.5316423;48.2247978
3162;60200820;Längenfeldgasse U;Wien;49000001;16.3354772;48.1848825
3163;60200437;Grenzgasse;Wien;49000001;16.3297639;48.1931651
3164;60200437;Grenzgasse;Wien;49000001;16.3295573;48.1934885
3166;60201851;Franz-Sebek-Straße;Wien;49000001;16.4228383;48.2698186
3167;;Richard-Tauber-Gasse;;;0;0
3168;60201869;Josef-Prangl-Straße;Wien;49000001;16.3562282;48.1346314
3169;60200621;Jura-Soyfer-Gasse;Wien;49000001;16.3926819;48.1491917
3170;60200014;Alaudagasse U;Wien;49000001;16.3822614;48.1533989
3171;60200003;Ada-Christen-Gasse;Wien;49000001;16.3860254;48.1527817
3172;60200856;Max-Fleischer-Gasse;Wien;49000001;16.3896905;48.1507859
3173;60201465;Wendstattgasse;Wien;49000001;16.3916578;48.1478431
3174;60200553;Hubert-Gsur-Gasse;Wien;49000001;16.3890886;48.1463507
3175;60200007;Adolf-Unger-Gasse;Wien;49000001;16.3857020;48.1489100
3176;60201327;Stockholmer Platz;Wien;49000001;16.3833574;48.1497970
3177;60200524;Himberger Straße;Wien;49000001;16.3822794;48.1434855
3178;60201342;Sulzengasse;Wien;49000001;16.3745090;48.1449002
3179;60200432;Großmarktstraße;Wien;49000001;16.3668194;48.1463147
3180;60201342;Sulzengasse;Wien;49000001;16.3751827;48.1446424
3181;60200971;Oberlaaer Straße;Wien;49000001;16.3622020;48.1476753
3182;60200432;Großmarktstraße;Wien;49000001;16.3669541;48.1462788
3183;60200965;Ziegelhofstraße;Wien;49000001;16.4782284;48.2400565
3184;60200966;Spargelfeldstraße;Wien;49000001;16.4737998;48.2410735
3185;60201595;Oberfeldgasse;Wien;49000001;16.4690387;48.2428564
3186;60201786;Gewerbepark Stadlau;Wien;49000001;16.4622025;48.2456083
3187;60200938;Forstnergasse;Wien;49000001;16.4540727;48.2476422
3190;60201327;Stockholmer Platz;Wien;49000001;16.3824591;48.1494614
3191;60200938;Forstnergasse;Wien;49000001;16.4540009;48.2475525
3192;60201786;Gewerbepark Stadlau;Wien;49000001;16.4622654;48.2456860
3193;60201595;Oberfeldgasse;Wien;49000001;16.4689848;48.2427846
3194;60200642;Kaisermühlenstraße;Wien;49000001;16.4408675;48.2129408
3195;;Kaisermühlenstraße;;;0;0
3196;60200966;Spargelfeldstraße;Wien;49000001;16.4738806;48.2409718
3197;60200965;Ziegelhofstraße;Wien;49000001;16.4783632;48.2400026
3198;60200350;Forchheimergasse;Wien;49000001;16.3077552;48.1410039
3199;60200051;Am Tabor;Wien;49000001;16.3834652;48.2248098
